eid,b1_mctype,b2_mctype,b1tau_mctype,b2tau_mctype
1,Dstarl,Dl,NoTau,NoTau
2,Dstarstar_res,Dstarl,NoTau,NoTau
3,Dstarstar_res,Dstartau,NoTau,tau_mu
4,Dstarstar_res,Dstarstar_res,NoTau,NoTau
5,Dtau,Dstarl,tau_e,NoTau
6,Had,Had,NoTau,NoTau
7,Dstarl,Dstarl,NoTau,NoTau
8,Dl,Dstarl,NoTau,NoTau
9,Had,Dstarstar_res,NoTau,NoTau
10,Dstarl,Had,NoTau,NoTau
11,Had,Dstarl,NoTau,NoTau
12,Had,Had,NoTau,NoTau
13,Dstarl,Dstarl,NoTau,NoTau
14,Had,Dstarl,NoTau,NoTau
15,Dstarstar_res,Had,NoTau,NoTau
16,Dstarl,Dstarl,NoTau,NoTau
17,Had,Dstarstar_res,NoTau,NoTau
18,Dstarstar_res,Had,tau_mu,NoTau
19,Dstarl,Dstarl,NoTau,NoTau
20,Had,Had,NoTau,NoTau
21,Had,Dstarl,NoTau,NoTau
22,Had,Had,NoTau,NoTau
23,Dstarl,Had,NoTau,NoTau
24,Had,Had,NoTau,NoTau
25,Had,Dl,NoTau,NoTau
26,Dstarl,Had,NoTau,NoTau
27,Dstarstar_res,Dstarstar_nonres,NoTau,NoTau
28,Dstarl,Had,NoTau,NoTau
29,Dstarl,Dstarstar_res,NoTau,NoTau
30,Dstarl,Dstarstar_nonres,NoTau,NoTau
31,Dstarl,Dl,NoTau,NoTau
32,Dstarl,Dtau,NoTau,tau_h
33,Had,Dstarl,NoTau,NoTau
34,Dstarl,Dstarstar_res,NoTau,NoTau
35,Had,Dstarstar_res,NoTau,NoTau
36,Had,Had,NoTau,NoTau
37,Had,Dstarl,NoTau,NoTau
38,Had,Dl,NoTau,NoTau
39,Dstarl,Dstarl,NoTau,NoTau
40,Dstarl,Dl,NoTau,NoTau
41,Had,Dl,NoTau,NoTau
42,Had,Dstarstar_res,NoTau,NoTau
43,Dstarstar_res,Dstarl,NoTau,NoTau
44,Dstarstar_res,Had,NoTau,NoTau
45,Dl,Dstarstar_res,NoTau,NoTau
46,Had,Had,NoTau,NoTau
47,Had,Had,NoTau,NoTau
48,Had,Dstarl,NoTau,NoTau
49,Had,Had,NoTau,NoTau
50,Dstarstar_res,Dstarstar_res,NoTau,NoTau
51,Had,Had,NoTau,NoTau
52,Dl,Dstarl,NoTau,NoTau
53,Dstarl,Had,NoTau,NoTau
54,Dstarl,Had,NoTau,NoTau
55,Dstarl,Had,NoTau,NoTau
56,Dstarl,Dstarl,NoTau,NoTau
57,Dstarl,Dstarl,NoTau,NoTau
58,Dstarstar_res,Dstarl,NoTau,NoTau
59,Had,Dstarstar_res,NoTau,NoTau
60,Had,Had,NoTau,NoTau
61,Dl,Had,NoTau,NoTau
62,Had,Dstarl,NoTau,NoTau
63,Had,Dstarl,NoTau,NoTau
64,Had,Had,NoTau,NoTau
65,Dstarl,Dstarstar_res,NoTau,NoTau
66,Dstarl,Dstarstar_res,NoTau,NoTau
67,Dstarstar_res,Had,NoTau,NoTau
68,Dstarstar_nonres,Dstarl,NoTau,NoTau
69,Had,Dstarl,NoTau,NoTau
70,Dstarstar_res,Had,NoTau,NoTau
71,Dstarl,Dstarl,NoTau,NoTau
72,Had,Dstarstar_res,NoTau,NoTau
73,Dstarl,Dstarl,NoTau,NoTau
74,Had,Dstarl,NoTau,NoTau
75,Dstarl,Had,NoTau,NoTau
76,Dstarstar_res,Had,NoTau,NoTau
77,Dstarl,Had,NoTau,NoTau
78,Had,Had,NoTau,NoTau
79,Dstarl,Dstarl,NoTau,NoTau
80,Dstarl,Dstarl,NoTau,NoTau
81,Dstarl,Had,NoTau,NoTau
82,Dstarstar_res,Dstarl,NoTau,NoTau
83,Dstarl,Dstarl,NoTau,NoTau
84,Dstarl,Dstarl,NoTau,NoTau
85,Had,Dl,NoTau,NoTau
86,Dstarl,Dl,NoTau,NoTau
87,Dstartau,Dstarstar_res,tau_mu,NoTau
88,Dstarstar_res,Dstarl,NoTau,NoTau
89,Dstarstar_res,Dstarl,NoTau,NoTau
90,Dtau,Dstarl,tau_e,NoTau
91,Dstarl,Had,NoTau,NoTau
92,Dstarstar_res,Dstarl,NoTau,NoTau
93,Had,Dtau,NoTau,tau_h
94,Dstarl,Dl,NoTau,NoTau
95,Dl,Dstarl,NoTau,NoTau
96,Dstarstar_res,Had,NoTau,NoTau
97,Dstarstar_res,Had,NoTau,NoTau
98,SL,Dstarl,NoTau,NoTau
99,Had,Had,NoTau,NoTau
100,Had,Dl,NoTau,NoTau
101,Dstarstar_res,Dl,NoTau,NoTau
102,Dstarl,Dstarl,NoTau,NoTau
103,Dstarl,Had,NoTau,NoTau
104,Had,Had,NoTau,NoTau
105,Dstarl,Had,NoTau,NoTau
106,Dstarl,Had,NoTau,NoTau
107,Dstarl,Dstarl,NoTau,NoTau
108,Dstarl,Dstartau,NoTau,tau_h
109,Dstarl,Had,NoTau,NoTau
110,Dstarl,Dstarl,NoTau,NoTau
111,Dstarstar_res,Dl,NoTau,NoTau
112,Dstarl,Dstarl,NoTau,NoTau
113,Had,Dstarstar_res,NoTau,NoTau
114,Had,Had,NoTau,NoTau
115,Dstarl,Dstarl,NoTau,NoTau
116,Had,Had,NoTau,NoTau
117,Had,Dstarstar_nonres,NoTau,NoTau
118,Dstarstar_res,Had,NoTau,NoTau
119,Dl,Dstarl,NoTau,NoTau
120,Dstarl,Had,NoTau,NoTau
121,Had,Had,NoTau,NoTau
122,Dstarstar_res,Dstarl,NoTau,NoTau
123,Dstarstar_res,Dl,NoTau,NoTau
124,Dstarl,Had,NoTau,NoTau
125,Had,Had,NoTau,NoTau
126,Dstarl,Dstarl,NoTau,NoTau
127,Dstarl,Had,NoTau,NoTau
128,Dstarl,Dstarl,NoTau,NoTau
129,Had,Dl,NoTau,NoTau
130,Dl,Had,NoTau,NoTau
131,Had,Dstarstar_res,NoTau,NoTau
132,Had,Dstarl,NoTau,NoTau
133,Dstarl,Had,NoTau,NoTau
134,Had,Dl,NoTau,NoTau
135,Dstarstar_res,Had,NoTau,NoTau
136,Dstarl,Dstarstar_res,NoTau,NoTau
137,Had,Dstarl,NoTau,NoTau
138,Dl,Dl,NoTau,NoTau
